Item,Quantity,Total Price,Link
PCB (JLCPCB),-,4, jlcpcb.com
PCB Shipping ,-,12.74,jlcpcb.com
Xiao RP2040,1,6.1,https://robocraze.com/products/seeed-studio-xiao-rp2040-development-board
Switches + Keycaps , 6 ,  0 (already have) , https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/akko-v3-pro-cream-black-switch/
Diodes ,6 , 0 (already have) , https://www.amazon.in/Electronic-Spices-Inverse-Voltage-Rectifier/dp/B0BGX995MB/ref=asc_df_B0BGX995MB?mcid=74abc80ea3ec34129157b55d8eb1a4f3&tag=googleshopdes-21&linkCode=df0&hvadid=709963085501&hvpos=&hvnetw=g&hvrand=3843113247026560841&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9149897&hvtargid=pla-2197270103235&psc=1&hvocijid=3843113247026560841-B0BGX995MB-&hvexpln=0&gad_source=1
0.91 inch Oled Screen ,1 , 0 (already have) ,amazon.in/Robocraze-Display-Module-Interface-Arduino/dp/B084H9HLCS/ref=sr_1_7?crid=72D8M61EQPNT&dib=eyJ2IjoiMSJ9.df2zmPdLjzv-k4nOPGYtx955kIWS5WECgnwkGBglSKxyppo37EKgNA8hOdwIQ5TAlxL2QkJaPgx0Gf8xqQBnKcCfZqA6jRjO30nQElJ_c3qsA5rLO2p0pf4Xj1Ldz4z_IEv82gSpQh7w6_5leI_cukOTbuvQGBPQGcqUdiCdqoiHCLhE9_CG2hfEARDN2f36GumQd0xaIMG145kB-f3o7BV0ZEsX6QTmZ9Qiwm39aASWGVzIpyDMCtFbVJYTyGGXtb7xisD6KDej5b8CbFyfphdYADS8reTMFaZ_2mMHUUE.unj2KLuJ_YrlQ1W5QRHxPk_2qUYjmStzmaBkVvDjv6s&dib_tag=se&keywords=oled+screen&qid=1789774585&s=industrial&sprefix=oled+screen%2Cindustrial%2C274&sr=1-7
R0tor Encoder  , 1, 0 (already have) , https://www.amazon.in/CentIoT-Encoder-Digital-Potentiometer-Control/dp/B0888RVZSN/ref=sr_1_4?crid=16XJ6Y9FJSHVX&dib=eyJ2IjoiMSJ9.hLUWrvNlNTrQWA-2nLMdnKFQ1SU5oB5l0ocMM5_p-KrG-i-oCDX2AeRtoXlGR00Y44JyfaY1waw8jqxcjDh05pcFOpw7bFTkYx5S5sZbiEn3cdjln4ee65MxQJfTrYKpnB9AFHlWSl4vC-QTiXvpdWXgcR_pACjih9pMPUqf7GrSnZSEYov8MAFEw7uvrorOulMf7Jkp7MTL2EbvOnF-Hn6xRAIyTSfeDDFjDAf9cctS-asBIcgKeesa-uuvmibklzggLo9l1o7WlEcamvSZ5HmbiVCbbwWEII4RhmoxikM.p0CvMYB6E4wdnaWbGXPfLvgWLwAQ-VJr8541kcF-hsA&dib_tag=se&keywords=rotor+encoder&qid=1789774625&s=industrial&sprefix=rotor+encod%2Cindustrial%2C308&sr=1-4
SK6812MINI-E, 6, 0 (already have) , https://www.etstore.in/products/e9974?variant=48993209319675
HOTSWAP , 1 Pack (10 pieces), 0.9, https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/kailh-hot-swap-socket/
Total , ,23.74 , 
